/Users/tobiasm1/git/verified-certified-robustness/scripts/cav2025-artifact-venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Loading HIGGS via tfds (canonical split: train=first 500000, test=last 500000 of 11000000); reading full stream (first run downloads/prepares ~2.6GB)...
HIGGS loaded: train (500000, 28), test (500000, 28); train positive-class fraction=0.5309; standardization saved to /Users/tobiasm1/git/verified-certified-robustness/scripts/higgs_standardization.npz
test data loaded: 500000 instances
higgs_w512_d5_s40 eps=0.05: acc=0.7066 vra=0.6649 rob=0.9189
higgs_w512_d5_s40 eps=0.08: acc=0.7066 vra=0.6389 rob=0.8703
higgs_w512_d5_s40 eps=0.09: acc=0.7066 vra=0.6301 rob=0.8543
higgs_w512_d5_s40 eps=0.095: acc=0.7066 vra=0.6254 rob=0.8460
higgs_w512_d5_s40 eps=0.1: acc=0.7066 vra=0.6209 rob=0.8379
higgs_w512_d5_s40 eps=0.105: acc=0.7066 vra=0.6163 rob=0.8298
higgs_w512_d5_s40 eps=0.11: acc=0.7066 vra=0.6117 rob=0.8218
higgs_w512_d5_s40 eps=0.115: acc=0.7066 vra=0.6070 rob=0.8136
higgs_w512_d5_s40 eps=0.12: acc=0.7066 vra=0.6024 rob=0.8055
higgs_w512_d5_s40 eps=0.13: acc=0.7066 vra=0.5929 rob=0.7894
higgs_w512_d5_s40 eps=0.15: acc=0.7066 vra=0.5739 rob=0.7571
higgs_w512_d5_s40 eps=0.175: acc=0.7066 vra=0.5495 rob=0.7169
higgs_w512_d5_s40 eps=0.2: acc=0.7066 vra=0.5248 rob=0.6769
higgs_w512_d5_s40 eps=0.25: acc=0.7066 vra=0.4739 rob=0.5972
higgs_w512_d5_s40 eps=0.3: acc=0.7066 vra=0.4220 rob=0.5199
higgs_w512_d5_s50 eps=0.02: acc=0.7059 vra=0.6896 rob=0.9673
higgs_w512_d5_s50 eps=0.05: acc=0.7059 vra=0.6645 rob=0.9189
higgs_w512_d5_s50 eps=0.08: acc=0.7059 vra=0.6387 rob=0.8705
higgs_w512_d5_s50 eps=0.09: acc=0.7059 vra=0.6298 rob=0.8545
higgs_w512_d5_s50 eps=0.095: acc=0.7059 vra=0.6254 rob=0.8465
higgs_w512_d5_s50 eps=0.1: acc=0.7059 vra=0.6209 rob=0.8386
higgs_w512_d5_s50 eps=0.105: acc=0.7059 vra=0.6163 rob=0.8305
higgs_w512_d5_s50 eps=0.11: acc=0.7059 vra=0.6116 rob=0.8224
higgs_w512_d5_s50 eps=0.115: acc=0.7059 vra=0.6071 rob=0.8143
higgs_w512_d5_s50 eps=0.12: acc=0.7059 vra=0.6024 rob=0.8062
higgs_w512_d5_s50 eps=0.13: acc=0.7059 vra=0.5929 rob=0.7898
higgs_w512_d5_s50 eps=0.15: acc=0.7059 vra=0.5738 rob=0.7578
higgs_w512_d5_s50 eps=0.175: acc=0.7059 vra=0.5495 rob=0.7177
higgs_w512_d5_s50 eps=0.2: acc=0.7059 vra=0.5247 rob=0.6777
higgs_w512_d5_s50 eps=0.25: acc=0.7059 vra=0.4745 rob=0.5986
higgs_w512_d5_s50 eps=0.3: acc=0.7059 vra=0.4216 rob=0.5206
higgs_w512_d5_s60 eps=0.02: acc=0.7065 vra=0.6901 rob=0.9675
higgs_w512_d5_s60 eps=0.05: acc=0.7065 vra=0.6650 rob=0.9190
higgs_w512_d5_s60 eps=0.08: acc=0.7065 vra=0.6390 rob=0.8706
higgs_w512_d5_s60 eps=0.09: acc=0.7065 vra=0.6301 rob=0.8545
higgs_w512_d5_s60 eps=0.095: acc=0.7065 vra=0.6255 rob=0.8463
higgs_w512_d5_s60 eps=0.1: acc=0.7065 vra=0.6210 rob=0.8383
higgs_w512_d5_s60 eps=0.105: acc=0.7065 vra=0.6165 rob=0.8303
higgs_w512_d5_s60 eps=0.11: acc=0.7065 vra=0.6120 rob=0.8223
higgs_w512_d5_s60 eps=0.115: acc=0.7065 vra=0.6075 rob=0.8143
higgs_w512_d5_s60 eps=0.12: acc=0.7065 vra=0.6029 rob=0.8064
higgs_w512_d5_s60 eps=0.13: acc=0.7065 vra=0.5934 rob=0.7902
higgs_w512_d5_s60 eps=0.15: acc=0.7065 vra=0.5744 rob=0.7577
higgs_w512_d5_s60 eps=0.175: acc=0.7065 vra=0.5499 rob=0.7176
higgs_w512_d5_s60 eps=0.2: acc=0.7065 vra=0.5255 rob=0.6779
higgs_w512_d5_s60 eps=0.25: acc=0.7065 vra=0.4749 rob=0.5986
higgs_w512_d5_s60 eps=0.3: acc=0.7065 vra=0.4224 rob=0.5210
higgs_w512_d5_s70 eps=0.02: acc=0.7071 vra=0.6903 rob=0.9670
higgs_w512_d5_s70 eps=0.05: acc=0.7071 vra=0.6648 rob=0.9177
higgs_w512_d5_s70 eps=0.08: acc=0.7071 vra=0.6383 rob=0.8685
higgs_w512_d5_s70 eps=0.09: acc=0.7071 vra=0.6293 rob=0.8522
higgs_w512_d5_s70 eps=0.095: acc=0.7071 vra=0.6247 rob=0.8440
higgs_w512_d5_s70 eps=0.1: acc=0.7071 vra=0.6201 rob=0.8358
higgs_w512_d5_s70 eps=0.105: acc=0.7071 vra=0.6155 rob=0.8278
higgs_w512_d5_s70 eps=0.11: acc=0.7071 vra=0.6108 rob=0.8196
higgs_w512_d5_s70 eps=0.115: acc=0.7071 vra=0.6061 rob=0.8115
higgs_w512_d5_s70 eps=0.12: acc=0.7071 vra=0.6015 rob=0.8033
higgs_w512_d5_s70 eps=0.13: acc=0.7071 vra=0.5917 rob=0.7866
higgs_w512_d5_s70 eps=0.15: acc=0.7071 vra=0.5724 rob=0.7541
higgs_w512_d5_s70 eps=0.175: acc=0.7071 vra=0.5479 rob=0.7136
higgs_w512_d5_s70 eps=0.2: acc=0.7071 vra=0.5227 rob=0.6726
higgs_w512_d5_s70 eps=0.25: acc=0.7071 vra=0.4709 rob=0.5922
higgs_w512_d5_s70 eps=0.3: acc=0.7071 vra=0.4176 rob=0.5134
higgs_w512_d5_s80 eps=0.02: acc=0.7059 vra=0.6896 rob=0.9677
higgs_w512_d5_s80 eps=0.05: acc=0.7059 vra=0.6647 rob=0.9194
higgs_w512_d5_s80 eps=0.08: acc=0.7059 vra=0.6388 rob=0.8713
higgs_w512_d5_s80 eps=0.09: acc=0.7059 vra=0.6300 rob=0.8551
