run	eps	clean_acc	vra	robustness
mnist_tobler_s10	0.1	0.984000027179718	0.9771000146865845	0.9877000004053116
mnist_tobler_s10	0.2	0.984000027179718	0.9682000279426575	0.9747000001370907
mnist_tobler_s10	0.25	0.984000027179718	0.9603000283241272	0.9648000001907349
mnist_tobler_s10	0.3	0.984000027179718	0.9523000121116638	0.9552999995648861
mnist_tobler_s10	0.35	0.984000027179718	0.9452999830245972	0.9479000009596348
mnist_tobler_s10	0.4	0.984000027179718	0.9347000122070312	0.9367000013589859
mnist_tobler_s10	0.45	0.984000027179718	0.9228000044822693	0.9244000017642975
mnist_tobler_s10	0.475	0.984000027179718	0.9157000184059143	0.9170999974012375
mnist_tobler_s10	0.5	0.984000027179718	0.9085999727249146	0.90990000218153
mnist_tobler_s10	0.525	0.984000027179718	0.9009000062942505	0.9017999991774559
mnist_tobler_s10	0.55	0.984000027179718	0.8935999870300293	0.8944000005722046
mnist_tobler_s10	0.6	0.984000027179718	0.8730000257492065	0.8735000044107437
mnist_tobler_s10	0.65	0.984000027179718	0.8547999858856201	0.8552999943494797
mnist_tobler_s10	0.7	0.984000027179718	0.8299000263214111	0.8304000049829483
mnist_tobler_s10	0.8	0.984000027179718	0.7720000147819519	0.7721000015735626
mnist_tobler_s10	1.0	0.984000027179718	0.6068000197410583	0.606799989938736
mnist_tobler_s100	0.1	0.9842000007629395	0.9769999980926514	0.9870999995619059
mnist_tobler_s100	0.2	0.9842000007629395	0.9663000106811523	0.9722000006586313
mnist_tobler_s100	0.25	0.9842000007629395	0.9605000019073486	0.9653000012040138
mnist_tobler_s100	0.3	0.9842000007629395	0.9538000226020813	0.9571999981999397
mnist_tobler_s100	0.35	0.9842000007629395	0.9459999799728394	0.9486999996006489
mnist_tobler_s100	0.4	0.9842000007629395	0.9361000061035156	0.938400000333786
mnist_tobler_s100	0.45	0.9842000007629395	0.9223999977111816	0.9241999983787537
mnist_tobler_s100	0.475	0.9842000007629395	0.9160000085830688	0.9173000007867813
mnist_tobler_s100	0.5	0.9842000007629395	0.9082000255584717	0.9092999994754791
mnist_tobler_s100	0.525	0.9842000007629395	0.900600016117096	0.9013999998569489
mnist_tobler_s100	0.55	0.9842000007629395	0.8921999931335449	0.8928999975323677
mnist_tobler_s100	0.6	0.9842000007629395	0.8727999925613403	0.8734000027179718
mnist_tobler_s100	0.65	0.9842000007629395	0.8536999821662903	0.8540000021457672
mnist_tobler_s100	0.7	0.9842000007629395	0.8306999802589417	0.8308999985456467
mnist_tobler_s100	0.8	0.9842000007629395	0.7721999883651733	0.7724000066518784
mnist_tobler_s100	1.0	0.9842000007629395	0.6082000136375427	0.6082000136375427
mnist_tobler_s20	0.1	0.9846000075340271	0.9775999784469604	0.9868999999016523
mnist_tobler_s20	0.2	0.9846000075340271	0.9660000205039978	0.9711000006645918
mnist_tobler_s20	0.25	0.9846000075340271	0.9592999815940857	0.9633999988436699
mnist_tobler_s20	0.3	0.9846000075340271	0.9520999789237976	0.9549999982118607
mnist_tobler_s20	0.35	0.9846000075340271	0.9437999725341797	0.9459999985992908
mnist_tobler_s20	0.4	0.9846000075340271	0.9340000152587891	0.9358000010251999
mnist_tobler_s20	0.45	0.9846000075340271	0.9217000007629395	0.9231999963521957
mnist_tobler_s20	0.475	0.9846000075340271	0.9143000245094299	0.9155000001192093
mnist_tobler_s20	0.5	0.9846000075340271	0.9072999954223633	0.9082999974489212
mnist_tobler_s20	0.525	0.9846000075340271	0.9010999798774719	0.902099996805191
mnist_tobler_s20	0.55	0.9846000075340271	0.8938999772071838	0.8945999965071678
mnist_tobler_s20	0.6	0.9846000075340271	0.8733999729156494	0.8738999962806702
mnist_tobler_s20	0.65	0.9846000075340271	0.8532999753952026	0.8534999936819077
mnist_tobler_s20	0.7	0.9846000075340271	0.8295000195503235	0.8296000063419342
mnist_tobler_s20	0.8	0.9846000075340271	0.7689999938011169	0.7689999938011169
mnist_tobler_s20	1.0	0.9846000075340271	0.603600025177002	0.6035999953746796
mnist_tobler_s30	0.1	0.9843000173568726	0.9768999814987183	0.9870999995619059
mnist_tobler_s30	0.2	0.9843000173568726	0.9660000205039978	0.9726999998092651
mnist_tobler_s30	0.25	0.9843000173568726	0.9585000276565552	0.9635000005364418
mnist_tobler_s30	0.3	0.9843000173568726	0.9509000182151794	0.9543999992311001
mnist_tobler_s30	0.35	0.9843000173568726	0.944100022315979	0.9466000013053417
mnist_tobler_s30	0.4	0.9843000173568726	0.9344000220298767	0.9363999962806702
mnist_tobler_s30	0.45	0.9843000173568726	0.921999990940094	0.9233999997377396
mnist_tobler_s30	0.475	0.9843000173568726	0.9157000184059143	0.9170999974012375
